Title,Company,Ratings,Reviews,Experience,Salary,Posted,Location,URL,Keywords
Data Insights Analyst,Capco Technologies Pvt Ltd,3.6,105,7-12,Not disclosed,6,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-insights-analyst-capco-technologies-pvt-ltd-bangalore-bengaluru-7-to-12-years-120721004069?src=jobsearchDesk&sid=16266120882628544&xp=12&px=7,"Business Intelligence,R,Data Quality,GCP,Advanced Analytics,Alteryx,Data Analysis,Tableau,"
Associate - Data Governance Analyst,	Morgan Stanley Advantage Services,3.7,267,2-5,Not disclosed,2,Mumbai,https://www.naukri.com/job-listings-associate-data-governance-analyst-morgan-stanley-advantage-services-pvt-ltd-mumbai-2-to-5-years-150721500424?src=jobsearchDesk&sid=16266120882628544&xp=15&px=7,"Investment Banking,Financial Services,Compliance,Technology,Data Management,Natural Language Processing,Machine Learning,Investment Management,"
Sr Data Center Operations Analyst,ServiceNow,4.3,24,3-6,Not disclosed,1,Mumbai,https://www.naukri.com/job-listings-sr-data-center-operations-analyst-servicenow-mumbai-3-to-6-years-160721501914?src=jobsearchDesk&sid=16266120882628544&xp=16&px=7,"IT Skills,Cloud,Installation,Time Management,Networking,Servicenow,Problem Solving,Hardware,"
Analyst / Associate Analyst - Telecom ( Data Products ),SG Analytics Pvt. Ltd.,3.5,117,2-5,Not disclosed,3,"Hyderabad/Secunderabad, Pune",https://www.naukri.com/job-listings-analyst-associate-analyst-telecom-data-products-sg-analytics-pvt-ltd-hyderabad-secunderabad-pune-2-to-5-years-120521001249?src=jobsearchDesk&sid=16266121052377400&xp=7&px=8,"Technology Overviews,Competitive Intelligence,Dataset,Opportunity Assessment,company financial models,Financial Statement Analysis,AI,Benchmarking,"
Senior Data Analyst- Intelligent information management,Peopleplus Professional Services Pvt. Ltd.,3.3,3,0-15,Not disclosed,30,Bengaluru,https://www.naukri.com/job-listings-senior-data-analyst-intelligent-information-management-peopleplus-professional-services-pvt-ltd-bengaluru-bangalore-10-to-15-years-080321500191?src=jobsearchDesk&sid=16266121052377400&xp=8&px=8,"Computer science,Software development methodologies,Machine learning,Agile,Presales,Data analytics,Data Analyst,Information management,"
Global Data Governance Analyst,Smiths Group Plc,3.9,4,1-4,Not disclosed,11,Bangalore/Bengaluru,https://www.naukri.com/job-listings-global-data-governance-analyst-smiths-group-plc-bangalore-bengaluru-1-to-4-years-060721500227?src=jobsearchDesk&sid=16266121052377400&xp=12&px=8,"Computer science,Analyst,SAP ERP,Data migration,Aviation,Data management,Machine learning,data governance,"
Data Analyst,Applied Materials,4.0,101,7-10,Not disclosed,25,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-applied-materials-india-private-limited-bangalore-bengaluru-7-to-10-years-220621907018?src=jobsearchDesk&sid=16266121052377400&xp=13&px=8,"Data Management,Data Analysis,Data Mining,Data Collection, Real Time Analysis,Tableau,Data Analytics,"
Senior Data Analyst,Flipkart Internet Private Limited,4.2,3401,4-5,Not disclosed,18,Bangalore/Bengaluru,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-4-to-5-years-290621906696?src=jobsearchDesk&sid=16266121052377400&xp=16&px=8,"Oracle SQL,Django,Big Data,Data Analysis, Data Analyst,Python,"
Senior Data Analyst,Flipkart Internet Private Limited,4.2,3401,2-5,Not disclosed,22,Bangalore/Bengaluru,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-2-to-5-years-250621906551?src=jobsearchDesk&sid=16266121052377400&xp=17&px=8,"Power Bi,Data Analysis,Web Analytics,Tag Validation,Adobe Analytics,SQL,Python,"
Data Center Operations Analyst,Ensono Technologies LLP,3.8,45,5-10,Not disclosed,4,Pune,https://www.naukri.com/job-listings-data-center-operations-analyst-ensono-technologies-llp-pune-5-to-10-years-130721500888?src=jobsearchDesk&sid=16266121219792924&xp=1&px=9,"Communication Skills,Jcl,Sdsf,Sas,Easytrieve,Technical Support,Scheduling,Operations,"
Data Analyst,Zilingo.com,2.9,12,0-4,Not disclosed,18,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-zilingo-com-bangalore-bengaluru-0-to-4-years-300621500357?src=jobsearchDesk&sid=16266121219792924&xp=5&px=9,"Supply chain,Analyst,Automation,Analytical,SCALA,Data collection,Financial services,Android,"
Data analysts,IBM India Pvt. Limited,4.0,9990,3-5,Not disclosed,17,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analysts-ibm-india-pvt-limited-bangalore-bengaluru-3-to-5-years-310521907024?src=jobsearchDesk&sid=16266121219792924&xp=6&px=9,"risk compliance,Data center operations,Information security,Cloud,IT risk management,Data Analyst,Application development,Data analytics,"
Data analysts,IBM India Pvt. Limited,4.0,9990,5-6,Not disclosed,17,Bengaluru/Bangalore,https://www.naukri.com/job-listings-data-analysts-ibm-india-pvt-limited-bengaluru-bangalore-5-to-6-years-310521905299?src=jobsearchDesk&sid=16266121219792924&xp=7&px=9,"risk compliance,Data center operations,Information security,Cloud,IT risk management,Data Analyst,Application development,Data analytics,"
Data Analyst (Data Stewards)//Immediate Joiners//Bangalore,Tech Mahindra Ltd.,3.6,11564,5-10,Not disclosed,20,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-data-stewards-immediate-joiners-bangalore-tech-mahindra-ltd-bangalore-bengaluru-5-to-10-years-280621001225?src=jobsearchDesk&sid=16266121219792924&xp=8&px=9,"Informatica MDM,analytical,Reference Data Management,metadata,clound refrence data management,data catalog,mdm,data lineage,"
Data Analyst,St. John’s Research Institute,4.3,19,0-4,Not disclosed,30,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-st-john-s-research-institute-bengaluru-bangalore-0-to-4-years-210121501464?src=jobsearchDesk&sid=16266121219792924&xp=9&px=9,"Nutrition,Coding,CRC,Data Analyst,Research,Bioinformatics,Python,"
Data Analyst,AG Technologies pvt Ltd,2.3,29,0-2,"2,00,000 - 4,00,000 PA.",28,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",https://www.naukri.com/job-listings-data-analyst-ag-technologies-pvt-ltd-noida-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-2-years-190621603270?src=jobsearchDesk&sid=16266121219792924&xp=10&px=9,"communication,AP,O2C,SAP,P2P,analytical,SQL,SAP Database,"
Data Analyst,AG Technologies pvt Ltd,2.3,29,0-2,"2,00,000 - 4,00,000 PA.",28,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",https://www.naukri.com/job-listings-data-analyst-ag-technologies-pvt-ltd-noida-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-2-years-190621003268?src=jobsearchDesk&sid=16266121219792924&xp=11&px=9,"communication,AP,O2C,SAP,P2P,analytical,SQL,SAP Database,"
Data Analyst with SAP MDM/MDG //immediate Joiners//Bangalore,Tech Mahindra Ltd.,3.6,11564,4-8,Not disclosed,30,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-with-sap-mdm-mdg-immediate-joiners-bangalore-tech-mahindra-ltd-bangalore-bengaluru-4-to-8-years-100621005875?src=jobsearchDesk&sid=16266121219792924&xp=12&px=9,"communication,JIRA,SAP MDG,Agile methodologies,Confluence,Data analysis,SQL,MDM,"
Data Analyst,Shaadi.com,3.7,69,0-5,Not disclosed,30,Mumbai,https://www.naukri.com/job-listings-data-analyst-shaadi-com-mumbai-0-to-5-years-311220500131?src=jobsearchDesk&sid=16266121219792924&xp=13&px=9,"Data analysis,tableau,Google Analytics,Machine learning,Programming,Data analytics,data visualization,big data,"
